x px
-0.0314921986 0.0441138330
0.0856370669 -0.0051667800
-0.0147552520 -0.0462666099
-0.0690662205 0.0286945738
0.0648141203 0.0247398083
0.0282408863 -0.0449988521
-0.0857547414 0.0072873701
0.0184982571 0.0455188724
0.0665252672 -0.0301212935
-0.0678333400 -0.0223662113
-0.0250513301 0.0457964557
0.0856894709 -0.0093056134
-0.0221778106 -0.0446826137
-0.0639719225 0.0314878137
0.0705674887 0.0200293395
0.0219794515 -0.0464869742
-0.0854584186 0.0111841801
0.0257258098 0.0437745532
0.0614584201 -0.0327749523
-0.0729921548 -0.0177832712
-0.0190517597 0.0470592525
0.0850695893 -0.0129174188
-0.0291087209 -0.0428126359
-0.0590084689 0.0339760046
0.0751058447 0.0156422137
0.0162685157 -0.0475163515
-0.0845447106 0.0145051990
0.0323242046 0.0417971522
0.0566260014 -0.0350922969
-0.0769411591 -0.0136088383
-0.0136011758 0.0478648701
0.0838878021 -0.0159713595
-0.0354046246 -0.0407314545
-0.0542868864 0.0361367309
0.0785329935 0.0116556262
0.0110016283 -0.0481120636
-0.0830918606 0.0173496074
0.0383961506 0.0395944638
0.0519509991 -0.0371278979
-0.0799283286 -0.0097560901
-0.0084100735 0.0482633039
0.0821498245 -0.0186692923
-0.0413601472 -0.0383680610
-0.0495693482 0.0380867621
0.0811515342 0.0078598627
0.0057622531 -0.0483230582
-0.0810401045 0.0199641305
0.0443567082 0.0370246602
0.0470898696 -0.0390337267
-0.0822371329 -0.0059409869
-0.0029948350 0.0482895994
0.0797343999 -0.0212649788
-0.0474324870 -0.0355279123
-0.0444714017 0.0399843516
0.0831908048 0.0039626830
0.0000535421 -0.0481553563
-0.0782018449 0.0225976041
0.0506218870 0.0338590291
0.0416847431 -0.0409480894
-0.0840145075 -0.0019108595
-0.1005501143 0.0171801519
0.0192687298 0.0536459902
0.0814751754 -0.0341021365
-0.0668091337 -0.0322013474
-0.0445146452 0.0495369843
0.0976342296 0.0002695643
0.0089653338 -0.0574835282
-0.0979142045 0.0222389439
0.0314766882 0.0497583564
0.0721297062 -0.0382840511
-0.0784336977 -0.0234306837
-0.0346256618 0.0530606136
0.1005247713 -0.0069566692
-0.0007972639 -0.0571457192
-0.0935492650 0.0268326663
0.0443270961 0.0445727945
0.0621372485 -0.0424671346
-0.0875642228 -0.0145802511
-0.0252498406 0.0556040531
0.1012911774 -0.0131387759
-0.0110562036 -0.0556229621
-0.0873318580 0.0310624794
0.0573678867 0.0379966050
0.0519926630 -0.0465969522
-0.0941665070 -0.0061319461
-0.0159638798 0.0570629537
0.1000266993 -0.0185665377
-0.0224030895 -0.0527452747
-0.0791179475 0.0352059948
0.0700816966 0.0299391064
0.0418440322 -0.0505445187
-0.0986074559 0.0017461626
-0.0064020269 0.0574994845
0.0969246383 -0.0235019665
-0.0348487034 -0.0485063730
-0.0695070009 0.0393972019
0.0811202806 0.0210576604
0.0320976869 -0.0538420853
-0.1009357496 0.0086902785
0.0034463556 0.0568650076
0.0920911161 -0.0279807044
-0.0477760863 -0.0429725629
-0.0594580903 0.0435683204
0.0895411436 0.0122931909
0.0228019450 -0.0560935102
-0.1011462861 0.0146363977
0.0139407390 0.0549968417
0.0853407675 -0.0321593264
-0.0608129031 -0.0359925560
-0.0492887033 0.0476750917
0.0955468149 0.0039741402
0.0134570428 -0.0572770208
-0.0993750617 0.0199194770
0.0256199719 0.0517497041
0.0766600252 -0.0363143418
-0.0732358486 -0.0276201755
-0.0392044598 0.0515058365
0.0994317586 -0.0036941985
0.0038215536 -0.0574411565
-0.0958141261 0.0247328218
0.0382516518 0.0471661605
0.0668594154 -0.0405081441
-0.0836132068 -0.0186961806
-0.0296048771 0.0545469148
0.1011930845 -0.0103543342
-0.0061390221 -0.0564982567
-0.0904979910 0.0291064096
0.0512354699 0.0412714620
0.0567709056 -0.0446657738
-0.0913537020 -0.0100434181
-0.0203481927 0.0565075534
0.1008626552 -0.0160878722
-0.0169140510 -0.0542708261
-0.0832082769 0.0332557912
0.0642240077 0.0338888280
0.0465885788 -0.0487364581
-0.0967845342 -0.0018645420
-0.0109280023 0.0574206724
0.0985994670 -0.0212398325
-0.0289066303 -0.0506612798
0.3306694682 -0.1657601106
-0.2099889405 -0.4452296480
0.4885911967 -0.0857577448
0.1779271460 0.3216275808
-0.0736400833 0.2453225047
0.1168626165 0.1076706419
0.2788866906 -0.1124045577
