q p curve
5.055865 5.197405 4
5.639459 5.307057 4
6.130099 5.289464 4
0.317596 5.101931 4
6.073122 5.673122 5
0.973178 4.994723 5
3.577568 4.816107 5
5.659103 5.622263 5
0.465192 5.369574 5
2.394011 4.499082 5
5.144208 5.472030 5
0.098737 5.579450 5
1.519260 4.657910 5
4.313233 5.113543 5
6.010552 5.681226 5
0.882427 5.057091 5
3.357973 4.733419 5
5.563569 5.598813 5
0.387484 5.429385 5
2.235437 4.493740 5
5.022808 5.421207 5
0.024322 5.602195 5
1.352871 4.746370 5
4.151120 5.047496 5
5.943469 5.680482 5
0.785443 5.123836 5
3.098264 4.644978 5
5.465872 5.575877 5
0.317539 5.478873 5
2.081172 4.501068 5
4.880775 5.359130 5
6.235302 5.626065 5
1.219842 4.828127 5
3.998466 4.985346 5
5.872058 5.671335 5
0.689012 5.192847 5
2.850339 4.574268 5
5.371056 5.550681 5
0.252089 5.517268 5
1.916032 4.524000 5
4.704984 5.280757 5
6.160474 5.651283 5
1.102721 4.906284 5
3.832847 4.918151 5
5.789182 5.654829 5
0.592033 5.267758 5
2.640144 4.529386 5
5.280387 5.522401 5
0.189915 5.546398 5
1.750875 4.565548 5
4.530483 5.204252 5
6.092575 5.669251 5
1.001772 4.975165 5
3.640833 4.840964 5
5.690047 5.630206 5
0.492985 5.347445 5
2.448368 4.503586 5
5.179258 5.485902 5
0.121908 5.571988 5
1.576194 4.631660 5
4.365320 5.134893 5
6.030405 5.679473 5
0.911129 5.037344 5
3.430373 4.759997 5
5.593134 5.605850 5
0.410306 5.412193 5
2.283022 4.494044 5
5.061986 5.437931 5
0.047072 5.595199 5
1.400652 4.719295 5
4.200254 5.067516 5
5.964898 5.681793 5
0.816230 5.102571 5
3.181976 4.672152 5
5.496656 5.583220 5
0.338953 5.464418 5
2.130353 4.497325 5
4.928692 5.380283 5
6.258068 5.618271 5
1.258967 4.803159 5
4.046079 5.004701 5
5.894908 5.674880 5
0.718566 5.171161 5
2.922575 4.593148 5
5.399731 5.558793 5
0.271923 5.506599 5
1.968112 4.514928 5
4.761924 5.306153 5
6.183620 5.643801 5
1.137712 4.882550 5
3.887302 4.940237 5
5.817046 5.660961 5
0.623002 5.243279 5
2.703356 4.541165 5
5.309009 5.531746 5
0.209382 5.537890 5
1.802278 4.550441 5
4.582888 5.226924 5
6.112636 5.664656 5
1.031453 4.954898 5
3.702757 4.865636 5
5.721535 5.638286 5
0.522709 5.323528 5
2.505555 4.509681 5
5.212564 5.498541 5
